Date	mean_cfs	Qual_Flag	Data_Source
10/1/1955	5.4	1	DWR
10/2/1955	5.9	1	DWR
10/3/1955	6.1	1	DWR
10/4/1955	6.4	1	DWR
10/5/1955	7.5	1	DWR
10/6/1955	7.5	1	DWR
10/7/1955	6.4	1	DWR
10/8/1955	5.9	1	DWR
10/9/1955	6.9	1	DWR
10/10/1955	22	1	DWR
10/11/1955	13	1	DWR
10/12/1955	11	1	DWR
10/13/1955	10	1	DWR
10/14/1955	9.6	1	DWR
10/15/1955	9.6	1	DWR
10/16/1955	9.1	1	DWR
10/17/1955	9.1	1	DWR
10/18/1955	8.6	1	DWR
10/19/1955	8.6	1	DWR
10/20/1955	9.1	1	DWR
10/21/1955	9.1	1	DWR
10/22/1955	8.6	1	DWR
10/23/1955	8.6	1	DWR
10/24/1955	8.6	1	DWR
10/25/1955	8	1	DWR
10/26/1955	14	1	DWR
10/27/1955	9.6	1	DWR
10/28/1955	9.1	1	DWR
10/29/1955	8.6	1	DWR
10/30/1955	9.1	1	DWR
10/31/1955	11	1	DWR
11/1/1955	12	1	DWR
11/2/1955	11	1	DWR
11/3/1955	11	1	DWR
11/4/1955	14	1	DWR
11/5/1955	13	1	DWR
11/6/1955	11	1	DWR
11/7/1955	11	1	DWR
11/8/1955	9.1	1	DWR
11/9/1955	9.1	1	DWR
11/10/1955	10	1	DWR
11/11/1955	11	1	DWR
11/12/1955	10	1	DWR
11/13/1955	10	1	DWR
11/14/1955	13	1	DWR
11/15/1955	11	1	DWR
11/16/1955	13	1	DWR
11/17/1955	14	1	DWR
11/18/1955	23	1	DWR
11/19/1955	127	1	DWR
11/20/1955	143	1	DWR
11/21/1955	66	1	DWR
11/22/1955	40	1	DWR
11/23/1955	33	1	DWR
11/24/1955	30	1	DWR
11/25/1955	28	1	DWR
11/26/1955	35	1	DWR
11/27/1955	44	1	DWR
11/28/1955	36	1	DWR
11/29/1955	33	1	DWR
11/30/1955	32	1	DWR
12/1/1955	41	1	DWR
12/2/1955	35	1	DWR
12/3/1955	31	1	DWR
12/4/1955	27	1	DWR
12/5/1955	31	1	DWR
12/6/1955	56	1	DWR
12/7/1955	44	1	DWR
12/8/1955	40	1	DWR
12/9/1955	40	1	DWR
12/10/1955	41	1	DWR
12/11/1955	78	1	DWR
12/12/1955	75	1	DWR
12/13/1955	63	1	DWR
12/14/1955	56	1	DWR
12/15/1955	53	1	DWR
12/16/1955	54	1	DWR
12/17/1955	53	1	DWR
12/18/1955	99	1	DWR
12/19/1955	230	1	DWR
12/20/1955	411	1	DWR
12/21/1955	1070	1	DWR
12/22/1955	2900	1	DWR
12/23/1955	1140	1	DWR
12/24/1955	512	1	DWR
12/25/1955	331	1	DWR
12/26/1955	279	1	DWR
12/27/1955	215	1	DWR
12/28/1955	169	1	DWR
12/29/1955	140	1	DWR
12/30/1955	116	1	DWR
12/31/1955	97	1	DWR
1/1/1956	91	1	DWR
1/2/1956	82	1	DWR
1/3/1956	74	1	DWR
1/4/1956	78	1	DWR
1/5/1956	86	1	DWR
1/6/1956	101	1	DWR
1/7/1956	103	1	DWR
1/8/1956	93	1	DWR
1/9/1956	93	1	DWR
1/10/1956	89	1	DWR
1/11/1956	89	1	DWR
1/12/1956	89	1	DWR
1/13/1956		255	DWR
1/14/1956		255	DWR
1/15/1956		255	DWR
1/16/1956		255	DWR
1/17/1956		255	DWR
1/18/1956		255	DWR
1/19/1956		255	DWR
1/20/1956		255	DWR
1/21/1956		255	DWR
1/22/1956		255	DWR
1/23/1956		255	DWR
1/24/1956		255	DWR
1/25/1956		255	DWR
1/26/1956		255	DWR
1/27/1956		255	DWR
1/28/1956		255	DWR
1/29/1956		255	DWR
1/30/1956		255	DWR
1/31/1956		255	DWR
2/1/1956		255	DWR
2/2/1956		255	DWR
2/3/1956		255	DWR
2/4/1956		255	DWR
2/5/1956		255	DWR
2/6/1956		255	DWR
2/7/1956		255	DWR
2/8/1956		255	DWR
2/9/1956		255	DWR
2/10/1956		255	DWR
2/11/1956		255	DWR
2/12/1956		255	DWR
2/13/1956		255	DWR
2/14/1956		255	DWR
2/15/1956		255	DWR
2/16/1956		255	DWR
2/17/1956		255	DWR
2/18/1956		255	DWR
2/19/1956		255	DWR
2/20/1956		255	DWR
2/21/1956		255	DWR
2/22/1956		255	DWR
2/23/1956		255	DWR
2/24/1956		255	DWR
2/25/1956		255	DWR
2/26/1956		255	DWR
2/27/1956		255	DWR
2/28/1956		255	DWR
2/29/1956		255	DWR
3/1/1956		255	DWR
3/2/1956		255	DWR
3/3/1956		255	DWR
3/4/1956		255	DWR
3/5/1956		255	DWR
3/6/1956		255	DWR
3/7/1956		255	DWR
3/8/1956		255	DWR
3/9/1956		255	DWR
3/10/1956		255	DWR
3/11/1956		255	DWR
3/12/1956		255	DWR
3/13/1956		255	DWR
3/14/1956		255	DWR
3/15/1956		255	DWR
3/16/1956		255	DWR
3/17/1956		255	DWR
3/18/1956		255	DWR
3/19/1956		255	DWR
3/20/1956		255	DWR
3/21/1956		255	DWR
3/22/1956		255	DWR
3/23/1956		255	DWR
3/24/1956		255	DWR
3/25/1956		255	DWR
3/26/1956		255	DWR
3/27/1956		255	DWR
3/28/1956		255	DWR
3/29/1956		255	DWR
3/30/1956		255	DWR
3/31/1956		255	DWR
4/1/1956		255	DWR
4/2/1956		255	DWR
4/3/1956		255	DWR
4/4/1956		255	DWR
4/5/1956		255	DWR
4/6/1956		255	DWR
4/7/1956		255	DWR
4/8/1956		255	DWR
4/9/1956		255	DWR
4/10/1956		255	DWR
4/11/1956	371	1	DWR
4/12/1956	320	1	DWR
4/13/1956	314	1	DWR
4/14/1956	352	1	DWR
4/15/1956	382	1	DWR
4/16/1956	379	1	DWR
4/17/1956	379	1	DWR
4/18/1956	394	1	DWR
4/19/1956	466	1	DWR
4/20/1956	521	1	DWR
4/21/1956	582	1	DWR
4/22/1956	606	1	DWR
4/23/1956	634	1	DWR
4/24/1956	620	1	DWR
4/25/1956	545	1	DWR
4/26/1956	462	1	DWR
4/27/1956	413	1	DWR
4/28/1956	398	1	DWR
4/29/1956	409	1	DWR
4/30/1956	413	1	DWR
5/1/1956	409	1	DWR
5/2/1956	436	1	DWR
5/3/1956	499	1	DWR
5/4/1956	578	1	DWR
5/5/1956	526	1	DWR
5/6/1956	449	1	DWR
5/7/1956	405	1	DWR
5/8/1956	394	1	DWR
5/9/1956	363	1	DWR
5/10/1956	371	1	DWR
5/11/1956	331	1	DWR
5/12/1956	310	1	DWR
5/13/1956	292	1	DWR
5/14/1956	303	1	DWR
5/15/1956	328	1	DWR
5/16/1956	436	1	DWR
5/17/1956	564	1	DWR
5/18/1956	639	1	DWR
5/19/1956	686	1	DWR
5/20/1956	667	1	DWR
5/21/1956	625	1	DWR
5/22/1956	625	1	DWR
5/23/1956	681	1	DWR
5/24/1956	615	1	DWR
5/25/1956	559	1	DWR
5/26/1956	536	1	DWR
5/27/1956	504	1	DWR
5/28/1956	432	1	DWR
5/29/1956	449	1	DWR
5/30/1956	504	1	DWR
5/31/1956	540	1	DWR
6/1/1956	521	1	DWR
6/2/1956	462	1	DWR
6/3/1956	487	1	DWR
6/4/1956	474	1	DWR
6/5/1956	360	1	DWR
6/6/1956	320	1	DWR
6/7/1956	314	1	DWR
6/8/1956	331	1	DWR
6/9/1956	367	1	DWR
6/10/1956	398	1	DWR
6/11/1956	360	1	DWR
6/12/1956	360	1	DWR
6/13/1956	356	1	DWR
6/14/1956	352	1	DWR
6/15/1956	331	1	DWR
6/16/1956	300	1	DWR
6/17/1956	289	1	DWR
6/18/1956	286	1	DWR
6/19/1956	320	1	DWR
6/20/1956	286	1	DWR
6/21/1956	260	1	DWR
6/22/1956	251	1	DWR
6/23/1956	251	1	DWR
6/24/1956	239	1	DWR
6/25/1956	223	1	DWR
6/26/1956	215	1	DWR
6/27/1956	220	1	DWR
6/28/1956	223	1	DWR
6/29/1956	206	1	DWR
6/30/1956	188	1	DWR
7/1/1956	169	1	DWR
7/2/1956	156	1	DWR
7/3/1956	144	1	DWR
7/4/1956	137	1	DWR
7/5/1956	130	1	DWR
7/6/1956	123	1	DWR
7/7/1956	118	1	DWR
7/8/1956	116	1	DWR
7/9/1956	116	1	DWR
7/10/1956	112	1	DWR
7/11/1956	105	1	DWR
7/12/1956	99	1	DWR
7/13/1956	91	1	DWR
7/14/1956	86	1	DWR
7/15/1956	80	1	DWR
7/16/1956	74	1	DWR
7/17/1956	73	1	DWR
7/18/1956	68	1	DWR
7/19/1956	64	1	DWR
7/20/1956	66	1	DWR
7/21/1956	59	1	DWR
7/22/1956	55	1	DWR
7/23/1956	50	1	DWR
7/24/1956	46	1	DWR
7/25/1956	43	1	DWR
7/26/1956	40	1	DWR
7/27/1956	42	1	DWR
7/28/1956	34	1	DWR
7/29/1956	29	1	DWR
7/30/1956	27	1	DWR
7/31/1956	25	1	DWR
8/1/1956	24	1	DWR
8/2/1956	22	1	DWR
8/3/1956	24	1	DWR
8/4/1956	26	1	DWR
8/5/1956	26	1	DWR
8/6/1956	26	1	DWR
8/7/1956	25	1	DWR
8/8/1956	23	1	DWR
8/9/1956	22	1	DWR
8/10/1956	20	1	DWR
8/11/1956	19	1	DWR
8/12/1956	18	1	DWR
8/13/1956	17	1	DWR
8/14/1956	14	1	DWR
8/15/1956	14	1	DWR
8/16/1956	13	1	DWR
8/17/1956	11	1	DWR
8/18/1956	11	1	DWR
8/19/1956	11	1	DWR
8/20/1956	11	1	DWR
8/21/1956	19	1	DWR
8/22/1956	19	1	DWR
8/23/1956	12	1	DWR
8/24/1956	9.2	1	DWR
8/25/1956	7.9	1	DWR
8/26/1956	7.2	1	DWR
8/27/1956	6.6	1	DWR
8/28/1956	5.9	1	DWR
8/29/1956	5.9	1	DWR
8/30/1956	5.9	1	DWR
8/31/1956	5.9	1	DWR
9/1/1956	5.5	1	DWR
9/2/1956	5	1	DWR
9/3/1956	4.6	1	DWR
9/4/1956	4.6	1	DWR
9/5/1956	4.6	1	DWR
9/6/1956	4.2	1	DWR
9/7/1956	3.8	1	DWR
9/8/1956	3.8	1	DWR
9/9/1956	4.2	1	DWR
9/10/1956	5	1	DWR
9/11/1956	5	1	DWR
9/12/1956	5	1	DWR
9/13/1956	5	1	DWR
9/14/1956	4.6	1	DWR
9/15/1956	4.6	1	DWR
9/16/1956	4.6	1	DWR
9/17/1956	3.8	1	DWR
9/18/1956	4.2	1	DWR
9/19/1956	5	1	DWR
9/20/1956	5	1	DWR
9/21/1956	4.5	1	DWR
9/22/1956	4.1	1	DWR
9/23/1956	3.9	1	DWR
9/24/1956	3.8	1	DWR
9/25/1956	3.7	1	DWR
9/26/1956	3.6	1	DWR
9/27/1956	3.6	1	DWR
9/28/1956	3.6	1	DWR
9/29/1956	3.5	1	DWR
9/30/1956	3.5	1	DWR
10/1/1956	3.5	70	DWR
10/2/1956	3.2	70	DWR
10/3/1956	3.2	70	DWR
10/4/1956	3.2	70	DWR
10/5/1956	3.2	70	DWR
10/6/1956	3	70	DWR
10/7/1956	3	70	DWR
10/8/1956	3	70	DWR
10/9/1956	3.5	70	DWR
10/10/1956	5	70	DWR
10/11/1956	6.2	70	DWR
10/12/1956	5.8	70	DWR
10/13/1956	5.4	70	DWR
10/14/1956	5.2	70	DWR
10/15/1956	5.2	70	DWR
10/16/1956	5	70	DWR
10/17/1956	5	70	DWR
10/18/1956	5.9	70	DWR
10/19/1956	7.2	70	DWR
10/20/1956	5.9	70	DWR
10/21/1956	6.6	70	DWR
10/22/1956	7.9	70	DWR
10/23/1956	9.9	70	DWR
10/24/1956	9.2	70	DWR
10/25/1956	24	70	DWR
10/26/1956	71	70	DWR
10/27/1956	32	70	DWR
10/28/1956	23	70	DWR
10/29/1956	22	70	DWR
10/30/1956	101	70	DWR
10/31/1956	49	70	DWR
11/1/1956	34	70	DWR
11/2/1956	31	70	DWR
11/3/1956	30	70	DWR
11/4/1956	29	70	DWR
11/5/1956	29	70	DWR
11/6/1956	30	70	DWR
11/7/1956	31	70	DWR
11/8/1956	34	70	DWR
11/9/1956	35	70	DWR
11/10/1956	39	70	DWR
11/11/1956	40	70	DWR
11/12/1956	35	70	DWR
11/13/1956	31	70	DWR
11/14/1956	28	70	DWR
11/15/1956	26	70	DWR
11/16/1956	25	70	DWR
11/17/1956	39	70	DWR
11/18/1956	40	70	DWR
11/19/1956	31	70	DWR
11/20/1956	26	70	DWR
11/21/1956	25	70	DWR
11/22/1956	24	70	DWR
11/23/1956	22	70	DWR
11/24/1956	21	70	DWR
11/25/1956	20	70	DWR
11/26/1956	19	70	DWR
11/27/1956	18	70	DWR
11/28/1956	17	70	DWR
11/29/1956	16	70	DWR
11/30/1956	15	70	DWR
12/1/1956	14	70	DWR
12/2/1956	14	70	DWR
12/3/1956	14	70	DWR
